Key,Description,CN,EN
SAY.FungusFlow.263.丹尼,,我想那会对你很有帮助。,It might be somewhat useful to you.
SAY.FungusFlow.267.安德烈,,亭子上缠绕着藤蔓，看上去有几分萧瑟。,"The pavilion is covered with vines, and it looks a bit messy."
SAY.FungusFlow.271.,,,
SAY.FungusFlow.274.安德烈,,,
SAY.FungusFlow.295.丹尼,,如果你已经找到了木杖，可以去埃隆最西端的回溯点试试看。,"Got the staff? Good, you could try it at the western backtracking point in Elon."
SAY.FungusFlow.298.安德烈,,回溯点？那是什么意思？,Backtracking point? What's that?
SAY.FungusFlow.297.丹尼,,时间回溯点。这个木杖被塞恩赋予了魔法。,A place where you can go back to a particular past in timeline. This staff was given magical power by Thain.
SAY.FungusFlow.296.安德烈,,它能带我回到过去？,So you're saying that it could take me back to the past?
SAY.FungusFlow.299.丹尼,,是的，安德烈。在时间回溯点处，用这个木杖敲地三次，你就能回到过去。,"Aye, my friend. Knock the ground three times with the staff at the backtracking point, and you'll be sent to an expected past, which the creator of that backtracking point wanted you to see."
SAY.FungusFlow.300.安德烈,,这真是难以置信……我一直以为只有电影或者小说里面才会有这种事情。,That's incredible... I always thought that it would only happen in movies or novels.
SAY.FungusFlow.301.丹尼,,马丁第一次使用的时候也是你这种反应呢。的确，在鲁米诺，一切皆有可能。,"When Martin first used it, his reaction was the same as yours. But everything is possible in Luminor."
SAY.FungusFlow.302.丹尼,,还记得你刚走进鲁米诺的地方吗？那里是鲁米诺的辖区之一埃隆的最西端。,"Remember where you first came in? It's the western end of Elon, part of Luminor. "
SAY.FungusFlow.303.丹尼,,从那的岔路进去，你就能发现一个时间回溯点。,"Go to another fork in the road, and you shall find a backtracking point."
CHARACTER.丹尼,,丹尼,
CHARACTER.安德烈,,安德烈,
